tot,sys,usr
10884596210,3934596210,6950000000
10932206748,3952206748,6980000000
10985651726,3975651726,7010000000
11042871096,3992871096,7050000000
11095636001,4015636001,7080000000
11144808996,4034808996,7110000000
11195503476,4055503476,7140000000
11239383420,4069383420,7170000000
11287667816,4087667816,7200000000
11316276893,4106276893,7210000000
11346148613,4116148613,7230000000
11398422190,4138422190,7260000000
11450129231,4150129231,7300000000
11500514929,4170514929,7330000000
11561832729,4191832729,7370000000
11635237442,4215237442,7420000000
11702162983,4252162983,7450000000
11757135374,4267135374,7490000000
11808696366,4278696366,7530000000
11858133273,4298133273,7560000000
11929983593,4319983593,7610000000
11998262317,4348262317,7650000000
12060663628,4370663628,7690000000
12113054680,4393054680,7720000000
12181291238,4421291238,7760000000
12241759217,4431759217,7810000000
12295926528,4455926528,7840000000
12347017576,4467017576,7880000000
12399864401,4489864401,7910000000
12454348094,4514348094,7940000000
12512683096,4532683096,7980000000
12550864341,4550864341,8000000000
12594873480,4564873480,8030000000
12649559638,4589559638,8060000000
12714015689,4614015689,8100000000
12768170184,4638170184,8130000000
12822386673,4652386673,8170000000
12868507340,4678507340,8190000000
12909391045,4689391045,8220000000
12953149909,4713149909,8240000000
13008881802,4728881802,8280000000
13068140274,4758140274,8310000000
13120373011,4770373011,8350000000
13174798010,4794798010,8380000000
13220695395,4810695395,8410000000
13259698843,4829698843,8430000000
13291180707,4841180707,8450000000
13323506652,4853506652,8470000000
13352215448,4862215448,8490000000
