tot,sys,usr
101630558795,2760558795,98870000000
102109174169,2769174169,99340000000
102548746297,2778746297,99770000000
102973669039,2803669039,100170000000
103398545649,2818545649,100580000000
103821411618,2831411618,100990000000
104245209167,2845209167,101400000000
104710595647,2860595647,101850000000
105169723736,2879723736,102290000000
105628411321,2888411321,102740000000
106085037811,2905037811,103180000000
106540731161,2920731161,103620000000
106999482524,2929482524,104070000000
107466581046,2946581046,104520000000
107895116026,2955116026,104940000000
108316303891,2966303891,105350000000
108754037575,2984037575,105770000000
109218462606,2998462606,106220000000
109641358642,3011358642,106630000000
110063372915,3023372915,107040000000
110493137353,3043137353,107450000000
110916391217,3056391217,107860000000
111383032613,3073032613,108310000000
111849379379,3079379379,108770000000
112333453114,3093453114,109240000000
112758786172,3108786172,109650000000
113184450471,3124450471,110060000000
113639188645,3139188645,110500000000
114126721270,3146721270,110980000000
114551295578,3171295578,111380000000
114979236035,3179236035,111800000000
115403200020,3203200020,112200000000
115827135919,3217135919,112610000000
116257002915,3227002915,113030000000
116681932206,3241932206,113440000000
117106597427,3256597427,113850000000
117545014483,3275014483,114270000000
118035152485,3285152485,114750000000
118526331671,3296331671,115230000000
118997783097,3307783097,115690000000
119487168809,3327168809,116160000000
119953052395,3333052395,116620000000
120412484362,3342484362,117070000000
120880317790,3350317790,117530000000
121372982333,3362982333,118010000000
121862227350,3372227350,118490000000
122357735477,3387735477,118970000000
122824264534,3394264534,119430000000
123290482698,3410482698,119880000000
123752542863,3412542863,120340000000
124207893317,3417893317,120790000000
124667420969,3427420969,121240000000
