tot,sys,usr
11217760967,4147760967,7070000000
11272627295,4162627295,7110000000
11323345293,4183345293,7140000000
11374226478,4194226478,7180000000
11413182661,4213182661,7200000000
11442608996,4222608996,7220000000
11473427382,4233427382,7240000000
11504733601,4244733601,7260000000
11548436319,4248436319,7300000000
11587782281,4257782281,7330000000
11629730705,4269730705,7360000000
11680962001,4290962001,7390000000
11742004228,4312004228,7430000000
11796417063,4336417063,7460000000
11853583416,4353583416,7500000000
11894620200,4374620200,7520000000
11948031122,4398031122,7550000000
11989364993,4409364993,7580000000
12021433779,4421433779,7600000000
12070068452,4450068452,7620000000
12124481108,4464481108,7660000000
12192349337,4492349337,7700000000
12259478735,4519478735,7740000000
12316361268,4536361268,7780000000
12362580104,4552580104,7810000000
12410203147,4570203147,7840000000
12444485905,4584485905,7860000000
12492698881,4602698881,7890000000
12549489009,4619489009,7930000000
12594248589,4644248589,7950000000
12628170314,4658170314,7970000000
12662403005,4662403005,8000000000
12718310404,4688310404,8030000000
12762477596,4702477596,8060000000
12825943442,4725943442,8100000000
12881519302,4751519302,8130000000
12923041319,4763041319,8160000000
12965703064,4775703064,8190000000
13007512404,4797512404,8210000000
13055837248,4815837248,8240000000
13110079295,4830079295,8280000000
13151541863,4841541863,8310000000
13202659121,4862659121,8340000000
13261982399,4881982399,8380000000
13312385992,4902385992,8410000000
13351523489,4911523489,8440000000
13396903646,4926903646,8470000000
13435311115,4945311115,8490000000
13473212450,4953212450,8520000000
13508445807,4968445807,8540000000
13546599957,4986599957,8560000000
